rating,review
5.0,"(Translated by Google) Clean place, complete menu, good taste..... (Original) Tempat bersih,menu komplit,rasa enak....."
5.0,"(Translated by Google) Good food, appropriate prices, the best taste, large portions. Full.. Clean, fast, friendly. good job (Original) Makanan enak, harga sesuai, rasa the best, porsi buanyaakk. Kenyang.. Bersih, cepat, ramah. Goodjob"
1.0,"(Translated by Google) unfriendly employees!!!!!! Very unfriendly!!!! At that time I passed in front of the employee's stand as if demonstrating my movements, As if mocking me........ (Original) karyawan tidak ramah!!!!!! Sangat tidak ramah!!!! saya waktu itu lewat di depan standnya karyawannya seolah olah memperagakan gerakan saya, Seolah olah mengejek saya........"
4.0,"(Translated by Google) As the name suggests, the food and drink menu is very varied. I've tried noodles, meatballs, and salt chilli squid rice. It feels good. But for the price, it's quite expensive, especially the meatballs and noodles. Standard service only. The place is clean. Suitable to bring family and friends here. (Original) Seperti namanya, menu makanan dan minumannya sangat variatif. Saya pernah mencoba mie, bakso, dan nasi cumi cabe garam. Rasanya enak. Tetapi untuk harga, cukup mahal terutama bakso dan mie. Pelayanan standar saja. Tempatnya bersih. Cocok membawa keluarga dan teman ke sini."
4.0,"(Translated by Google) The taste tastes good, I most like to order the chicken meatball noodle, but it would be better if there is a choice of meatball chicken mushroom noodles, the average food here tends to be tasty, the price is also worth it. The atmosphere is comfortable. (Original) Cita rasanya enak, saya paling suka pesan mie ayam bakso, tp alangkah lebih baik ada pilihan mie ayam jamur bakso, rata-rata makanan di sini cenderung gurih rasanya, harganya jg sepadan. Suasananya nyaman."
4.0,"(Translated by Google) Good food, big portions, affordable prices, but the seats are too crowded and a bit hot (Original) Makanan enak, porsi besar, harga terjangkau, tetapi tempat duduknya terlalu crowded dan agak panas"
3.0,"(Translated by Google) Good food...the service is not friendly, much the same as the one in the cab on Jl. Depok (Original) Masakan enak...pelayanan kurang ramah jauh sama yg di cab jl depok"
3.0,"(Translated by Google) To Taste Okay But a bit disappointed when I couldn't request capcay without shrimp Because I am allergic to shrimp, I can't help but use shrimp Overall 7.5 / 10 (Original) Untuk Rasa Oke Tetapi agak kecewa saat tidak bisa request capcay tanpa udang Karena saya alergi udang jadi mau ga mau tetap pakai udang Overall 7.5 / 10"
4.0,"(Translated by Google) The restaurant, which is located in the waiting room of the domestic departure terminal next to the Promise Jiwa, serves noodle dishes: chicken noodles, meatball noodles etc. and various variants of mixed ice. It tastes good too. It's good to be able to eat well before being called for boarding. (Original) Restoran yang terletak di ruang tunggu terminal keberangkatan domestik bersebelahan dengan Janji Jiwa menyajikan masakan mie: mie ayam, mie bakso dll dan es campur berbagai varian. Rasanya enak juga. Lumayan bisa makan enak sebelum dipanggil untuk boarding."
5.0,"(Translated by Google) Taste delicious, varied menu of seafood and Chinese food halal. Prices include expensive. Service is ok. Cleanliness is ok. The speed of service from the message until the entire menu is served at the table, including fast. Most like Sapo Tahu and Rica Cuminya. Suitable for family meals because the portion of cuisine is large, a serving can be for two or more people. (Original) Taste enak, menu variatif seafood dan chinese food halal. Harga termasuk mahal. Pelayanan ok. Kebersihan ok. Kecepatan pelayanan dr pesan hingga seluruh menu terhidang di meja termasuk cepat. Paling suka sama sapo tahu dan rica cuminya. Cocok untuk makan keluarga karena porsi masakan termasuk besar, seporsi bisa untuk dua orang atau lebih."
